prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
709,query_only,knowledge/person_profession,4,708,,,,,,,,,,,,,,,,,,,,,Julian Beck,poet,Julian Beck →
710,icl,knowledge/person_profession,5,711,Herb Greene,Rick Genest,Beatrice Hutton,Marie Versini,Kimika Yoshino,Kim Sun-a,Corinne Luchaire,Kevin Norton,Jinpachi Nezu,Menachem Mendel Schneerson,photographer,actor,architect,actor,actor,actor,actor,composer,actor,rabbi,Julian Beck,poet,"Herb Greene → photographer
Rick Genest → actor
Beatrice Hutton → architect
Marie Versini → actor
Kimika Yoshino → actor
Kim Sun-a → actor
Corinne Luchaire → actor
Kevin Norton → composer
Jinpachi Nezu → actor
Menachem Mendel Schneerson → rabbi
Julian Beck →"
711,query_only,knowledge/person_profession,5,710,,,,,,,,,,,,,,,,,,,,,Moses ben Joshua,philosopher,Moses ben Joshua →
712,icl,knowledge/person_profession,6,713,Ignaz Paul Vital Troxler,Mayra Alejandra,Yitzhak Levy,Antoine Augustin Cournot,Bob Uecker,Luana Walters,Vanessa Ray,Ernst Jaakson,Leo Fong,Marcus Manilius,politician,actor,rabbi,mathematician,actor,actor,actor,diplomat,actor,poet,Moses ben Joshua,philosopher,"Ignaz Paul Vital Troxler → politician
Mayra Alejandra → actor
Yitzhak Levy → rabbi
Antoine Augustin Cournot → mathematician
Bob Uecker → actor
Luana Walters → actor
Vanessa Ray → actor
Ernst Jaakson → diplomat
Leo Fong → actor
Marcus Manilius → poet
Moses ben Joshua →"
713,query_only,knowledge/person_profession,6,712,,,,,,,,,,,,,,,,,,,,,Carla Camurati,actor,Carla Camurati →
714,icl,knowledge/person_profession,7,715,Ann Cusack,Giacinto Andrea Cicognini,Egon Brunswik,Carl Hatch,Samuel Fessenden,"John Ashburnham, 1st Baron Ashburnham",Shlomo Hillel,Rudolf Lipschitz,J. B. Priestley,Claude Antoine Dacosta,actor,poet,psychologist,politician,politician,politician,diplomat,mathematician,novelist,politician,Carla Camurati,actor,"Ann Cusack → actor
Giacinto Andrea Cicognini → poet
Egon Brunswik → psychologist
Carl Hatch → politician
Samuel Fessenden → politician
John Ashburnham, 1st Baron Ashburnham → politician
Shlomo Hillel → diplomat
Rudolf Lipschitz → mathematician
J. B. Priestley → novelist
Claude Antoine Dacosta → politician
Carla Camurati →"
715,query_only,knowledge/person_profession,7,714,,,,,,,,,,,,,,,,,,,,,Vondell Darr,actor,Vondell Darr →
716,icl,knowledge/person_profession,8,717,Lisa Haydon,Douglas Fowley,Stafford Cripps,Georges Aperghis,Avi Wigderson,Anton Walter,Lusia Strus,Lillian Leighton,A. Edward Sutherland,Ron Grainer,actor,actor,politician,composer,mathematician,composer,actor,actor,actor,composer,Vondell Darr,actor,"Lisa Haydon → actor
Douglas Fowley → actor
Stafford Cripps → politician
Georges Aperghis → composer
Avi Wigderson → mathematician
Anton Walter → composer
Lusia Strus → actor
Lillian Leighton → actor
A. Edward Sutherland → actor
Ron Grainer → composer
Vondell Darr →"
717,query_only,knowledge/person_profession,8,716,,,,,,,,,,,,,,,,,,,,,Lucha Villa,actor,Lucha Villa →
718,icl,knowledge/person_profession,9,719,Evan Bayh,Samuel Hill-Wood,Joe Malloori,"Charles FitzGerald, 1st Baron Lecale",Poojappura Ravi,Rodolfo Gambini,Michel Corrette,Sadhu Kokila,Eric Etebari,Noriyuki Higashiyama,politician,politician,actor,politician,actor,physicist,composer,actor,actor,actor,Lucha Villa,actor,"Evan Bayh → politician
Samuel Hill-Wood → politician
Joe Malloori → actor
Charles FitzGerald, 1st Baron Lecale → politician
Poojappura Ravi → actor
Rodolfo Gambini → physicist
Michel Corrette → composer
Sadhu Kokila → actor
Eric Etebari → actor
Noriyuki Higashiyama → actor
Lucha Villa →"
719,query_only,knowledge/person_profession,9,718,,,,,,,,,,,,,,,,,,,,,Trond Kirkvaag,actor,Trond Kirkvaag →
720,icl,knowledge/person_profession,10,721,Steven Hartley,Torey Hayden,James Craig Annan,John Gawsworth,Bernard Vonnegut,Andrew Salkey,Rory O'Hanlon,Rajakokila,Sabina Spielrein,Susanna Haavisto,actor,psychologist,photographer,poet,chemist,poet,politician,actor,psychologist,actor,Trond Kirkvaag,actor,"Steven Hartley → actor
Torey Hayden → psychologist
James Craig Annan → photographer
John Gawsworth → poet
Bernard Vonnegut → chemist
Andrew Salkey → poet
Rory O'Hanlon → politician
Rajakokila → actor
Sabina Spielrein → psychologist
Susanna Haavisto → actor
Trond Kirkvaag →"
721,query_only,knowledge/person_profession,10,720,,,,,,,,,,,,,,,,,,,,,Michel Corrette,composer,Michel Corrette →
722,icl,knowledge/person_profession,11,723,Ross Garnaut,Rodolfo Gambini,Peter Florin,Julius Shulman,Paulo Pires,Hugh Bonneville,Frits Helmuth,Yoo So-young,Bob Shacochis,Phil Coulter,economist,physicist,diplomat,architect,model,actor,actor,actor,novelist,composer,Michel Corrette,composer,"Ross Garnaut → economist
Rodolfo Gambini → physicist
Peter Florin → diplomat
Julius Shulman → architect
Paulo Pires → model
Hugh Bonneville → actor
Frits Helmuth → actor
Yoo So-young → actor
Bob Shacochis → novelist
Phil Coulter → composer
Michel Corrette →"
723,query_only,knowledge/person_profession,11,722,,,,,,,,,,,,,,,,,,,,,Erika Toda,actor,Erika Toda →
724,icl,knowledge/person_profession,12,725,Margarete Schlegel,Jeremy Allen White,Teala Dunn,Ari Telch,Ciara,Michael Dorn,Mayuko Fukuda,Pat Crowley,Nolan Gerard Funk,Julian Beck,actor,actor,actor,actor,actor,actor,actor,actor,actor,poet,Erika Toda,actor,"Margarete Schlegel → actor
Jeremy Allen White → actor
Teala Dunn → actor
Ari Telch → actor
Ciara → actor
Michael Dorn → actor
Mayuko Fukuda → actor
Pat Crowley → actor
Nolan Gerard Funk → actor
Julian Beck → poet
Erika Toda →"
725,query_only,knowledge/person_profession,12,724,,,,,,,,,,,,,,,,,,,,,Herbert Romulus O'Conor,lawyer,Herbert Romulus O'Conor →
726,icl,knowledge/person_profession,13,727,Wilhelm Magnus,Lynne Carol,Cigoli,Peter Jason,Charmaine Sheh,Takuya Ōnishi,Robert I. Soare,Henry Pottinger Stephens,Maxine Miller,Paul McGann,mathematician,actor,architect,actor,actor,astronaut,mathematician,journalist,actor,actor,Herbert Romulus O'Conor,lawyer,"Wilhelm Magnus → mathematician
Lynne Carol → actor
Cigoli → architect
Peter Jason → actor
Charmaine Sheh → actor
Takuya Ōnishi → astronaut
Robert I. Soare → mathematician
Henry Pottinger Stephens → journalist
Maxine Miller → actor
Paul McGann → actor
Herbert Romulus O'Conor →"
727,query_only,knowledge/person_profession,13,726,,,,,,,,,,,,,,,,,,,,,David Gascoyne,poet,David Gascoyne →
728,icl,knowledge/person_profession,14,729,Erika Toda,Matthew Sharpe,Subagio Sastrowardoyo,Michie Mee,Paul Hellyer,Sabina Spielrein,David Yost,Jon Rose,Ernst von Possart,George Thalben-Ball,actor,novelist,poet,actor,politician,psychologist,actor,composer,actor,composer,David Gascoyne,poet,"Erika Toda → actor
Matthew Sharpe → novelist
Subagio Sastrowardoyo → poet
Michie Mee → actor
Paul Hellyer → politician
Sabina Spielrein → psychologist
David Yost → actor
Jon Rose → composer
Ernst von Possart → actor
George Thalben-Ball → composer
David Gascoyne →"
729,query_only,knowledge/person_profession,14,728,,,,,,,,,,,,,,,,,,,,,Horatio Nelson Lay,diplomat,Horatio Nelson Lay →
730,icl,knowledge/person_profession,15,731,Mandy Rain,Georges Aperghis,Lou Reed,Dolly Wells,David Yost,Shruti Sharma,Don Hannah,Robert Lepage,Herb Greene,Benjamin Fondane,actor,composer,photographer,actor,actor,actor,novelist,actor,photographer,philosopher,Horatio Nelson Lay,diplomat,"Mandy Rain → actor
Georges Aperghis → composer
Lou Reed → photographer
Dolly Wells → actor
David Yost → actor
Shruti Sharma → actor
Don Hannah → novelist
Robert Lepage → actor
Herb Greene → photographer
Benjamin Fondane → philosopher
Horatio Nelson Lay →"
731,query_only,knowledge/person_profession,15,730,,,,,,,,,,,,,,,,,,,,,Arthur Creech Jones,politician,Arthur Creech Jones →
732,icl,knowledge/person_profession,16,733,Anna Louisa Karsch,Sue Lyon,John Munch,Clancy Cooper,Dudley R. Herschbach,Huo Guang,Arun Nehru,Kate Garven,Herbert Leon,Jack Huston,poet,actor,detective,actor,chemist,politician,politician,actor,politician,actor,Arthur Creech Jones,politician,"Anna Louisa Karsch → poet
Sue Lyon → actor
John Munch → detective
Clancy Cooper → actor
Dudley R. Herschbach → chemist
Huo Guang → politician
Arun Nehru → politician
Kate Garven → actor
Herbert Leon → politician
Jack Huston → actor
Arthur Creech Jones →"
733,query_only,knowledge/person_profession,16,732,,,,,,,,,,,,,,,,,,,,,Nadja Tiller,actor,Nadja Tiller →
734,icl,knowledge/person_profession,17,735,Paulo Pires,Pip Carter,Rie Miyazawa,Johnathon Schaech,Niyi Osundare,David Monrad Johansen,Shreela Ghosh,Michael Romanoff,Bibb Graves,John Clayton Allen,model,actor,model,actor,poet,composer,actor,actor,politician,politician,Nadja Tiller,actor,"Paulo Pires → model
Pip Carter → actor
Rie Miyazawa → model
Johnathon Schaech → actor
Niyi Osundare → poet
David Monrad Johansen → composer
Shreela Ghosh → actor
Michael Romanoff → actor
Bibb Graves → politician
John Clayton Allen → politician
Nadja Tiller →"
735,query_only,knowledge/person_profession,17,734,,,,,,,,,,,,,,,,,,,,,Henry Brassey,politician,Henry Brassey →
736,icl,knowledge/person_profession,18,737,Samuel Hill-Wood,Carl Barron,Alexander Wittek,Martin Burrell,Dov Ber of Mezeritch,Ennio Girolami,Edmond Panariti,Robert d'Escourt Atkinson,Judah Loew ben Bezalel,Lucha Villa,politician,comedian,architect,politician,rabbi,actor,politician,astronomer,rabbi,actor,Henry Brassey,politician,"Samuel Hill-Wood → politician
Carl Barron → comedian
Alexander Wittek → architect
Martin Burrell → politician
Dov Ber of Mezeritch → rabbi
Ennio Girolami → actor
Edmond Panariti → politician
Robert d'Escourt Atkinson → astronomer
Judah Loew ben Bezalel → rabbi
Lucha Villa → actor
Henry Brassey →"
737,query_only,knowledge/person_profession,18,736,,,,,,,,,,,,,,,,,,,,,Peter Macdissi,actor,Peter Macdissi →
738,icl,knowledge/person_profession,19,739,Ron Grainer,James E. Ferguson,Lucio Fulci,Henny Moan,Miltos Sachtouris,Dino Saluzzi,Dominic Dierkes,"Joyce Quin, Baroness Quin",J. Gwyn Griffiths,Simon Gosejohann,composer,politician,actor,actor,poet,composer,actor,politician,poet,actor,Peter Macdissi,actor,"Ron Grainer → composer
James E. Ferguson → politician
Lucio Fulci → actor
Henny Moan → actor
Miltos Sachtouris → poet
Dino Saluzzi → composer
Dominic Dierkes → actor
Joyce Quin, Baroness Quin → politician
J. Gwyn Griffiths → poet
Simon Gosejohann → actor
Peter Macdissi →"
739,query_only,knowledge/person_profession,19,738,,,,,,,,,,,,,,,,,,,,,Peter Macdissi,actor,Peter Macdissi →
740,icl,knowledge/person_profession,20,741,Kim Sun-a,Choi Myeong-gil,Jean-Joseph Rabéarivelo,Jean Gabriel Marchand,Anders Fogh Rasmussen,Johannes Nucius,Emily Barton,Yanis Varoufakis,Johnathon Schaech,Tomomi Inada,actor,actor,poet,lawyer,politician,composer,novelist,economist,actor,politician,Peter Macdissi,actor,"Kim Sun-a → actor
Choi Myeong-gil → actor
Jean-Joseph Rabéarivelo → poet
Jean Gabriel Marchand → lawyer
Anders Fogh Rasmussen → politician
Johannes Nucius → composer
Emily Barton → novelist
Yanis Varoufakis → economist
Johnathon Schaech → actor
Tomomi Inada → politician
Peter Macdissi →"
741,query_only,knowledge/person_profession,20,740,,,,,,,,,,,,,,,,,,,,,Frank Knox,politician,Frank Knox →
742,icl,knowledge/person_profession,21,743,Fifi D'Orsay,Sophia Elisabet Brenner,Mary Renault,Abrar Alvi,Carl Barron,Yakubu Gowon,Eja,Georgy Lvov,Kinuyo Tanaka,Raimundo Pereira,actor,poet,novelist,actor,comedian,politician,actor,politician,actor,politician,Frank Knox,politician,"Fifi D'Orsay → actor
Sophia Elisabet Brenner → poet
Mary Renault → novelist
Abrar Alvi → actor
Carl Barron → comedian
Yakubu Gowon → politician
Eja → actor
Georgy Lvov → politician
Kinuyo Tanaka → actor
Raimundo Pereira → politician
Frank Knox →"
743,query_only,knowledge/person_profession,21,742,,,,,,,,,,,,,,,,,,,,,John Mainwaring,composer,John Mainwaring →
744,icl,knowledge/person_profession,22,745,Bernard de Marigny,Mia Freedman,Samuel Hill-Wood,Olive Blakeney,John McCririck,Adam Rapacki,Ctesias,Suzanne Roberts,Caradog Roberts,Edward Burtynsky,politician,journalist,politician,actor,journalist,diplomat,physician,photographer,composer,photographer,John Mainwaring,composer,"Bernard de Marigny → politician
Mia Freedman → journalist
Samuel Hill-Wood → politician
Olive Blakeney → actor
John McCririck → journalist
Adam Rapacki → diplomat
Ctesias → physician
Suzanne Roberts → photographer
Caradog Roberts → composer
Edward Burtynsky → photographer
John Mainwaring →"
745,query_only,knowledge/person_profession,22,744,,,,,,,,,,,,,,,,,,,,,Noon Meem Rashid,poet,Noon Meem Rashid →
746,icl,knowledge/person_profession,23,747,Mayra Alejandra,Taku Iwasaki,Ellar Coltrane,Arthur Drews,Sabina Spielrein,Billy Roche,Hilary Putnam,Charles H. Goode,Paul Kehoe,Janet Jackson,actor,composer,actor,philosopher,psychologist,actor,philosopher,politician,politician,model,Noon Meem Rashid,poet,"Mayra Alejandra → actor
Taku Iwasaki → composer
Ellar Coltrane → actor
Arthur Drews → philosopher
Sabina Spielrein → psychologist
Billy Roche → actor
Hilary Putnam → philosopher
Charles H. Goode → politician
Paul Kehoe → politician
Janet Jackson → model
Noon Meem Rashid →"
747,query_only,knowledge/person_profession,23,746,,,,,,,,,,,,,,,,,,,,,Willem de Sitter,physicist,Willem de Sitter →
748,icl,knowledge/person_profession,24,749,Polina Gagarina,Keen Johnson,J. Anthony Lukas,Alleppey Vincent,Carl Barron,Carlo Allioni,Boris Tchaikovsky,Maurice Joly,Rannvijay Singh,Sophia Elisabet Brenner,actor,journalist,journalist,actor,comedian,physician,composer,lawyer,actor,poet,Willem de Sitter,physicist,"Polina Gagarina → actor
Keen Johnson → journalist
J. Anthony Lukas → journalist
Alleppey Vincent → actor
Carl Barron → comedian
Carlo Allioni → physician
Boris Tchaikovsky → composer
Maurice Joly → lawyer
Rannvijay Singh → actor
Sophia Elisabet Brenner → poet
Willem de Sitter →"
749,query_only,knowledge/person_profession,24,748,,,,,,,,,,,,,,,,,,,,,Harry Ham,actor,Harry Ham →
750,icl,knowledge/person_profession,25,751,Bruno Lawrence,Eja,Stefano Vagnini,Peter Florin,Mayra Alejandra,Hans Driesch,Nikolaj Frederik Severin Grundtvig,Erin Murphy,Albert Sharpe,Johann Wolfgang von Goethe,actor,actor,poet,diplomat,actor,philosopher,poet,actor,actor,politician,Harry Ham,actor,"Bruno Lawrence → actor
Eja → actor
Stefano Vagnini → poet
Peter Florin → diplomat
Mayra Alejandra → actor
Hans Driesch → philosopher
Nikolaj Frederik Severin Grundtvig → poet
Erin Murphy → actor
Albert Sharpe → actor
Johann Wolfgang von Goethe → politician
Harry Ham →"
751,query_only,knowledge/person_profession,25,750,,,,,,,,,,,,,,,,,,,,,Kinuyo Tanaka,actor,Kinuyo Tanaka →
752,icl,knowledge/person_profession,26,753,Jeff Bova,"Charles FitzGerald, 1st Baron Lecale",Josephine Mitchell,James Whitney Dunn,Sean Nelson,Stephen Colbert,Erle Cox,Alfonso Fontanelli,Haruko Sugimura,Yun Chi-ho,composer,politician,actor,politician,journalist,journalist,journalist,diplomat,actor,politician,Kinuyo Tanaka,actor,"Jeff Bova → composer
Charles FitzGerald, 1st Baron Lecale → politician
Josephine Mitchell → actor
James Whitney Dunn → politician
Sean Nelson → journalist
Stephen Colbert → journalist
Erle Cox → journalist
Alfonso Fontanelli → diplomat
Haruko Sugimura → actor
Yun Chi-ho → politician
Kinuyo Tanaka →"
753,query_only,knowledge/person_profession,26,752,,,,,,,,,,,,,,,,,,,,,Roger Bowen,actor,Roger Bowen →
754,icl,knowledge/person_profession,27,755,Maheswari,Michael Kidd,Karle Warren,Mary Renault,Crawford Williamson Long,Grace Williams,Mircea Florian,Lucio Fulci,Colin Kenny,Kevin Norton,actor,actor,actor,novelist,surgeon,composer,philosopher,actor,actor,composer,Roger Bowen,actor,"Maheswari → actor
Michael Kidd → actor
Karle Warren → actor
Mary Renault → novelist
Crawford Williamson Long → surgeon
Grace Williams → composer
Mircea Florian → philosopher
Lucio Fulci → actor
Colin Kenny → actor
Kevin Norton → composer
Roger Bowen →"
755,query_only,knowledge/person_profession,27,754,,,,,,,,,,,,,,,,,,,,,Avi Wigderson,mathematician,Avi Wigderson →
756,icl,knowledge/person_profession,28,757,Akshay Kumar Boral,Ryu Hyeon-kyeong,Charles Kaiser,Anna Neagle,Agnes Miegel,Niyi Osundare,Nao Takasugi,Paul McGann,Dimitris Horn,Roger Bowen,poet,actor,journalist,actor,journalist,poet,politician,actor,actor,actor,Avi Wigderson,mathematician,"Akshay Kumar Boral → poet
Ryu Hyeon-kyeong → actor
Charles Kaiser → journalist
Anna Neagle → actor
Agnes Miegel → journalist
Niyi Osundare → poet
Nao Takasugi → politician
Paul McGann → actor
Dimitris Horn → actor
Roger Bowen → actor
Avi Wigderson →"
757,query_only,knowledge/person_profession,28,756,,,,,,,,,,,,,,,,,,,,,Gu Seung-hyeon,actor,Gu Seung-hyeon →
758,icl,knowledge/person_profession,29,759,George Santayana,George Osborne,Ruth Marshall,Laurie Anderson,Earl Zindars,Shawn Fanning,"Eoin Ryan, Jnr",Phil Coulter,"Philip Wharton, 4th Baron Wharton",Christian Darnton,novelist,politician,actor,poet,composer,programmer,politician,composer,diplomat,composer,Gu Seung-hyeon,actor,"George Santayana → novelist
George Osborne → politician
Ruth Marshall → actor
Laurie Anderson → poet
Earl Zindars → composer
Shawn Fanning → programmer
Eoin Ryan, Jnr → politician
Phil Coulter → composer
Philip Wharton, 4th Baron Wharton → diplomat
Christian Darnton → composer
Gu Seung-hyeon →"
759,query_only,knowledge/person_profession,29,758,,,,,,,,,,,,,,,,,,,,,Steven Hartley,actor,Steven Hartley →
760,icl,knowledge/person_profession,30,761,Sarah Vandenbergh,Troy Donahue,Aristotle,Jeff Beal,Grigore Gafencu,Margarete Schlegel,Harlan Carey Brewster,Robert David Hall,Giacinto Andrea Cicognini,Nicolai Abildgaard,actor,actor,mathematician,composer,diplomat,actor,politician,actor,poet,architect,Steven Hartley,actor,"Sarah Vandenbergh → actor
Troy Donahue → actor
Aristotle → mathematician
Jeff Beal → composer
Grigore Gafencu → diplomat
Margarete Schlegel → actor
Harlan Carey Brewster → politician
Robert David Hall → actor
Giacinto Andrea Cicognini → poet
Nicolai Abildgaard → architect
Steven Hartley →"
